city,lat,long,max_temp,humidity,cloudiness,wind_speed,country,date
suluq,31.6682,20.2521,74.88,69,0,8.05,LY,1627267343
haverhill,42.7762,-71.0773,71.96,90,1,3.0,US,1627267344
thompson,55.7435,-97.8558,59.16,44,40,6.91,CA,1627266879
mar del plata,-38.0023,-57.5575,47.12,60,0,5.99,AR,1627266883
hithadhoo,-0.6,73.0833,81.36,74,100,6.67,MV,1627266909
saint anthony,45.0205,-93.218,82.92,50,1,4.61,US,1627266937
dauphin,51.1494,-100.0502,66.34,68,1,6.91,CA,1627267178
albany,42.6001,-73.9662,71.58,94,0,4.07,US,1627267344
rikitea,-23.1203,-134.9692,71.62,74,23,7.49,PF,1627266863
puerto leguizamo,-0.1934,-74.7819,70.72,97,100,1.99,CO,1627267344
lorengau,-2.0226,147.2712,85.75,64,41,6.31,PG,1627267017
saldanha,-33.0117,17.9442,48.25,42,100,19.91,ZA,1627266919
laguna,38.421,-121.4238,99.14,32,1,3.0,US,1627266728
kalmunai,7.4167,81.8167,84.24,67,91,2.73,LK,1627266922
khatanga,71.9667,102.5,61.41,56,77,1.66,RU,1627266884
chuy,-33.6971,-53.4616,58.12,98,21,5.75,UY,1627266882
kuytun,54.3419,101.5036,75.58,47,14,8.59,RU,1627267345
punta arenas,-53.15,-70.9167,33.91,93,0,12.66,CL,1627266878
ushuaia,-54.8,-68.3,33.46,80,20,4.61,AR,1627266877
busselton,-33.65,115.3333,65.05,72,0,26.37,AU,1627267345
kapaa,22.0752,-159.319,87.78,79,20,1.99,US,1627266888
la primavera,5.4906,-70.4092,74.44,88,30,3.53,CO,1627267345
saint george,37.1041,-113.5841,83.35,62,1,4.0,US,1627267298
yellowknife,62.456,-114.3525,59.52,47,20,1.99,CA,1627266611
trelew,-43.249,-65.3051,40.55,49,3,11.68,AR,1627267071
nemuro,43.3236,145.575,75.63,89,0,7.74,JP,1627266965
samarkand,39.6542,66.9597,81.82,30,0,11.5,UZ,1627267346
vaini,-21.2,-175.2,80.76,83,20,9.22,TO,1627266885
luwuk,-0.9516,122.7875,82.94,74,69,6.49,ID,1627267068
yelovo,57.0538,54.9207,55.78,64,96,6.93,RU,1627267346
kota tinggi,1.7381,103.8999,87.89,60,54,6.4,MY,1627267346
sabha,27.0377,14.4283,78.49,32,3,11.61,LY,1627266948
koslan,63.4564,48.8989,50.22,82,78,4.92,RU,1627267346
bubaque,11.2833,-15.8333,79.2,82,100,9.55,GW,1627267031
new norfolk,-42.7826,147.0587,54.9,86,100,1.01,AU,1627266893
hobart,-42.8794,147.3294,55.26,67,75,1.01,AU,1627266885
caravelas,-17.7125,-39.2481,67.21,90,9,4.5,BR,1627266927
nikolskoye,59.7035,30.7861,63.81,65,71,3.69,RU,1627266897
beringovskiy,63.05,179.3167,49.75,93,99,6.13,RU,1627266961
lebu,-37.6167,-73.65,47.5,80,17,15.66,CL,1627266887
ahipara,-35.1667,173.1667,57.45,84,77,13.4,NZ,1627266913
flin flon,54.7682,-101.865,57.04,62,40,1.81,CA,1627266910
yulara,-25.2406,130.9889,69.64,21,2,8.05,AU,1627267058
cabo san lucas,22.8909,-109.9124,89.51,70,1,5.99,MX,1627266706
